#Acq. time (s)=	15
#Accumulations=	4
#Range (cm-¹)=	50...4000
#Windows=	3
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Instrument=	LabRAM HR Evol
#Detector=	Syncerity OE
#Objective=	x100_VIS
#Grating=	600 (500nm)
#ND Filter=	5%
#Laser=	532nm_Edge
#Hole=	100.021
#Range=	Visible
#Project=	Omar
#Sample=	120523
#Site=	ap
#Title=	mz
#Remark=	5 laser intensity
#Date=	12.05.2023 17:13
#Acquired=	12.05.2023 17:13:03
51.0297	20.6667
52.8754	30.5652
54.7185	31.7971
56.5635	34.3624
58.406	39.5943
60.2502	58.1595
62.0919	60.7248
63.9355	85.29
65.7765	112.522
67.6193	131.754
69.4595	153.652
71.3016	190.218
73.1412	235.45
74.9825	257.348
76.8214	280.58
78.662	311.145
80.5001	327.044
82.34	339.609
84.1774	369.508
86.0166	394.073
87.8532	388.638
89.6917	399.203
91.5276	413.769
93.3632	413.667
95.2006	410.899
97.0355	404.131
98.8721	413.363
100.706	419.928
102.54	407.827
104.376	419.725
106.209	421.624
108.041	422.856
109.876	436.088
111.708	431.986
113.542	425.218
115.373	437.783
117.204	439.015
119.036	452.247
120.867	443.479
122.697	446.044
124.526	439.276
126.357	437.841
128.186	439.74
130.014	451.639
131.845	434.871
133.672	452.102
135.5	446.001
137.327	443.233
139.155	452.465
140.982	445.03
142.807	452.929
144.633	456.161
146.46	446.059
148.285	445.291
150.11	446.523
151.934	452.422
153.757	460.987
155.583	453.552
157.406	458.784
159.229	467.349
161.051	443.248
162.873	454.48
164.697	462.378
166.518	455.61
168.339	452.842
170.159	464.074
171.98	463.973
173.799	454.538
175.619	461.103
177.44	443.002
179.259	456.233
181.077	466.132
182.895	464.697
184.713	471.929
186.53	467.828
188.347	471.726
190.164	475.625
191.98	462.19
193.796	484.755
195.612	479.987
197.427	451.886
199.242	470.451
201.059	468.35
202.873	474.915
204.686	478.147
206.5	476.712
208.313	476.611
210.126	473.176
211.938	476.408
213.75	468.973
215.562	474.205
217.373	482.77
219.184	468.669
220.993	467.234
222.803	475.133
224.613	471.698
226.422	463.596
228.232	475.495
230.04	467.394
231.849	468.625
233.657	473.857
235.465	468.423
237.272	474.988
239.079	486.22
240.886	484.118
242.693	472.017
244.497	476.582
246.302	471.147
248.108	478.379
249.913	491.611
251.717	480.843
253.521	488.075
255.325	472.64
257.127	493.872
258.93	481.104
260.733	497.003
262.535	473.568
264.338	484.8
266.137	487.365
267.939	475.264
269.74	485.162
271.541	484.394
273.341	486.959
275.139	484.858
276.939	476.756
278.738	482.655
280.537	474.554
282.334	472.452
284.132	493.017
285.93	479.583
287.728	484.815
289.523	474.713
291.32	471.945
293.117	477.844
294.911	485.076
296.707	502.307
298.502	498.206
300.295	493.438
302.09	486.67
303.885	482.568
305.677	501.134
307.47	491.699
309.264	499.597
311.055	496.163
312.848	492.061
314.64	504.626
316.43	489.192
318.222	501.09
320.011	497.656
321.802	497.554
323.593	489.453
325.381	497.351
327.171	497.916
328.958	491.815
330.748	504.38
332.535	502.279
334.323	484.844
336.109	495.409
337.897	499.975
339.685	505.206
341.47	484.438
343.257	494.337
345.041	499.569
346.827	496.134
348.611	502.699
350.397	491.931
352.18	499.83
353.962	499.062
355.747	498.294
357.529	501.526
359.312	492.757
361.094	499.989
362.877	514.555
364.658	507.786
366.44	491.018
368.22	489.584
369.999	508.149
371.781	496.714
373.56	509.946
375.34	505.845
377.119	507.743
378.896	512.308
380.676	507.54
382.453	503.439
384.23	504.671
386.009	512.569
387.785	496.468
389.561	507.033
391.338	495.598
393.113	518.83
394.888	518.062
396.665	523.294
398.439	505.859
400.213	511.758
401.988	502.323
403.761	512.222
405.534	514.787
407.306	504.686
409.081	491.918
410.852	508.483
412.624	502.381
414.395	526.28
416.167	512.845
417.938	516.077
419.708	513.976
421.477	504.541
423.249	521.773
425.018	497.671
426.786	508.237
428.555	523.469
430.323	518.034
432.092	512.599
433.86	503.164
435.627	507.729
437.393	518.295
439.16	496.193
440.926	505.425
442.691	521.99
444.458	514.556
446.223	519.121
447.988	512.353
449.752	517.585
451.516	518.15
453.28	504.049
455.043	524.614
456.806	517.179
458.568	531.078
460.33	516.976
462.092	527.541
463.854	535.44
465.615	515.339
467.378	517.237
469.138	518.469
470.899	542.368
472.658	540.266
474.418	529.498
476.177	522.063
477.936	519.295
479.694	536.527
481.452	545.759
483.21	528.991
484.966	530.223
486.723	519.455
488.48	532.02
490.236	541.919
491.992	525.15
493.748	522.382
495.503	520.948
497.258	535.513
499.013	530.078
500.768	525.31
502.522	537.209
504.276	520.44
506.029	547.006
507.78	528.904
509.533	542.136
511.285	539.368
513.037	524.6
514.789	529.832
516.54	532.397
518.289	530.296
520.04	546.194
521.791	528.093
523.541	551.325
525.29	546.557
527.04	537.122
528.787	531.687
530.536	542.919
532.284	526.818
534.032	532.05
535.778	547.281
537.525	545.847
539.272	539.079
541.019	538.977
542.763	527.542
544.509	545.441
546.255	540.006
548	525.905
549.743	554.47
551.488	537.702
553.232	550.934
554.974	554.832
556.718	550.064
558.462	571.296
560.203	547.862
561.945	543.76
563.688	554.325
565.428	553.557
567.169	544.789
568.911	531.354
570.65	548.586
572.391	550.485
574.129	536.383
575.869	536.949
577.609	542.847
579.346	556.746
581.085	553.311
582.822	551.21
584.56	556.442
586.296	543.007
588.034	552.905
589.771	542.137
591.506	546.036
593.243	543.934
594.978	553.833
596.714	541.732
598.447	556.297
600.183	543.529
601.916	533.427
603.651	530.659
605.383	538.558
607.117	547.79
608.849	551.688
610.582	545.587
612.313	534.152
614.044	553.384
615.776	570.616
617.507	537.181
619.238	553.746
620.968	544.312
622.699	545.544
